"B01001_001E","B11001_001E","B19049_005E","zipcode"
"4689","2031","27475","04426"
"2801","1076","32763","04427"
"3106","1282","32991","04428"
"4847","2075","24833","04429"
"1917","819","26875","04430"
"66","32","0","04431"
"1290","496","33182","04434"
"1120","431","17143","04435"
"1303","481","19750","04438"
"2008","915","25536","04441"
"71","41","33289","04442"
"2574","1123","19982","04443"
"8767","3330","34453","04444"
"1342","569","22411","04448"
"1345","564","21875","04449"
"1162","527","22750","04450"
"261","137","24250","04451"
"725","299","11786","04453"
"73","32","12000","04454"
"1182","373","23214","04455"
"2793","1114","34063","04456"
"5852","2367","25037","04457"
"1167","516","21348","04459"
"1395","605","23500","04460"
"3069","1260","36875","04461"
"4965","2206","21961","04462"
"2631","1231","19417","04463"
"648","290","21563","04464"
"9540","4103","29167","04468"
"2642","0","0","04469"
"497","237","23477","04471"
"1979","862","43611","04472"
"7596","2774","42727","04473"
"3722","1499","50764","04474"
"515","225","26750","04475"
"1057","472","29766","04476"
"316","146","23021","04478"
"1421","663","19881","04479"
"542","235","29519","04481"
"326","131","24167","04485"
"813","325","21000","04487"
"1249","520","26333","04488"
"207","81","0","04489"
"264","108","14375","04490"
"129","53","22500","04491"
"136","77","7500","04492"
"1877","749","30000","04493"
"389","194","28333","04495"
"3761","1460","26250","04496"
"396","159","20833","04497"
"11028","4996","32824","04530"
"576","285","41042","04535"
"2020","933","33438","04537"
"2147","999","47167","04538"
"1255","570","43472","04539"
"62","34","0","04541"
"2241","903","48527","04543"
"700","394","40100","04544"
"1135","479","32917","04547"
"826","370","34167","04548"
"824","332","34750","04551"
"1728","751","30833","04553"
"645","373","39844","04554"
"1551","673","43155","04555"
"1088","469","40625","04556"
"291","150","25417","04558"
"2392","967","38125","04562"
"1291","518","39375","04563"
"510","252","83438","04564"
"528","255","50500","04568"
"0","0","0","04570"
"404","201","107750","04571"
"5082","2129","34167","04572"
"448","169","59063","04573"
"1483","586","38194","04574"
"134","62","82708","04575"
"509","267","50368","04576"
"4539","1830","45650","04578"
"3073","1212","39531","04579"
"12564","5413","32119","04605"
"1164","475","47639","04606"
"1049","492","35833","04607"
"5038","2174","29464","04609"
"507","234","23750","04611"
"688","292","31563","04612"
"175","79","36406","04613"
"2552","1232","30750","04614"
"967","429","37143","04616"
"921","426","44643","04617"
"3167","1579","18514","04619"
"1322","577","21250","04622"
"1019","444","27500","04623"
"170","78","37014","04624"
"52","22","19583","04625"
"603","224","18125","04626"
"1738","782","27156","04627"
"677","292","20809","04628"
"109","38","0","04629"
"1310","556","23036","04630"
"1406","692","20843","04631"
"2031","870","30000","04634"
"57","19","0","04635"
"153","86","40625","04637"
"2036","952","33977","04640"
"81","48","24583","04642"
"1079","433","21484","04643"
"176","66","0","04644"
"78","39","0","04645"
"59","32","58750","04646"
"584","247","37692","04648"
"1362","591","30500","04649"
"222","117","20104","04650"
"1765","791","22313","04652"
"505","276","14861","04653"
"3484","1391","23450","04654"
"1180","390","37656","04655"
"353","167","29583","04657"
"1325","555","33977","04658"
"1179","579","55588","04660"
"393","258","42083","04662"
"1271","534","51250","04664"
"1281","563","28750","04666"
"1504","595","16786","04667"
"1734","657","17083","04668"
"174","100","61500","04669"
"609","268","36250","04671"
"166","63","97917","04673"
"585","261","29500","04674"
"347","123","75000","04675"
"983","402","46250","04676"
"243","118","38958","04677"
"1865","888","20461","04679"
"1043","443","27500","04680"
"1169","529","42188","04681"
"58","32","0","04683"
"1634","688","42639","04684"
"413","177","39583","04685"
"78","42","20625","04686"
"497","197","45536","04691"
"473","259","28542","04693"
"2116","1009","31563","04694"
"10048","4084","24722","04730"
"1724","751","22837","04732"
"165","80","45952","04733"
"753","315","28977","04734"
"759","289","19671","04735"
"9850","4096","21726","04736"
"963","383","23333","04739"
"1204","512","23667","04740"
"0","0","0","04741"
"3505","1555","19762","04742"
"4638","1967","20354","04743"
"1104","444","35417","04745"
"479","197","24583","04746"
"1495","617","20833","04747"
"2661","1057","23289","04750"
"3653","1659","22917","04756"
"2796","1151","27143","04757"
"1613","655","27171","04758"
"678","296","14737","04760"
"563","265","26597","04761"
"543","228","31250","04762"
"675","291","24306","04763"
"46","26","53750","04764"
"1354","599","20893","04765"
"395","148","26500","04766"
"397","201","20833","04768"
"9677","4118","26736","04769"
"798","375","18750","04772"
"459","225","31406","04773"
"629","321","26597","04774"
"858","387","25625","04776"
"467","168","23750","04777"
"415","158","58073","04779"
"793","291","30833","04780"
"567","241","21500","04781"
"384","186","29500","04783"
"3190","1320","20927","04785"
"1959","842","26012","04786"
"482","179","24861","04787"
"7372","3280","23302","04841"
"4932","2270","35189","04843"
"1596","596","28750","04847"
"597","305","49583","04848"
"3422","1544","29738","04849"
"65","32","24375","04851"
"37","25","0","04852"
"468","199","65250","04853"
"1570","702","37625","04854"
"208","140","25901","04855"
"3382","1276","61250","04856"
"1555","647","41667","04858"
"642","249","48977","04859"
"1797","845","31121","04860"
"2854","1267","27022","04861"
"3735","1444","33681","04862"
"1117","529","27000","04863"
"4692","1778","25074","04864"
"26294","10566","28378","04901"
"1879","730","24688","04910"
"2028","801","21642","04911"
"1170","413","21696","04912"
"8934","3980","28934","04915"
"2894","1162","33750","04917"
"288","154","28839","04918"
"1698","837","18125","04920"
"1617","690","18125","04921"
"1296","498","22589","04922"
"557","236","24464","04923"
"2218","847","31607","04924"
"63","43","35000","04925"
"90","46","0","04926"
"3485","1448","29886","04927"
"2311","924","26591","04928"
"753","359","31250","04929"
"4458","1798","24167","04930"
"1101","442","24821","04932"
"0","0","0","04933"
"278","149","37875","04936"
"6703","2802","28849","04937"
"9910","3715","23750","04938"
"1065","428","24750","04939"
"46","46","0","04940"
"1699","699","17300","04941"
"1173","528","19091","04942"
"1920","793","22039","04943"
"30","15","0","04944"
"1209","539","21250","04945"
"1616","697","32500","04947"
"787","315","30313","04949"
"4830","1931","29597","04950"
"1007","437","30972","04951"
"1926","784","27857","04952"
"3276","1542","19329","04953"
"1497","573","26750","04955"
"734","301","24083","04956"
"4194","1735","29732","04957"
"1894","846","25455","04958"
"933","491","28594","04961"
"154","73","35089","04962"
"7128","2918","32250","04963"
"189","95","33750","04964"
"2145","847","23750","04965"
"1940","766","26518","04966"
"4256","1635","24297","04967"
"1231","490","48750","04969"
"1536","717","35446","04970"
"1873","745","25865","04971"
"1472","610","27188","04973"
"2641","1050","24279","04974"
"0","0","0","04975"
"10104","4335","25286","04976"
"744","317","41667","04978"
"1087","447","26447","04979"
"2146","927","29485","04981"
"594","225","31667","04982"
"1731","727","23654","04983"
"619","260","24167","04984"
"65","41","30000","04985"
"1674","654","30875","04986"
"866","358","24583","04987"
"2145","823","17386","04988"
"4172","1719","32802","04989"
"67","16","0","04992"
"9368","4363","32835","05001"
"97","57","85000","05031"
"3086","1408","29734","05032"
"2680","1150","30515","05033"
"191","100","14318","05034"
"481","214","60833","05035"
"901","371","45625","05036"
"533","219","50313","05037"
"1378","606","31250","05038"
"846","378","37344","05039"
"522","206","37857","05040"
"725","131","0","05041"
"625","265","48125","05042"
"939","368","44107","05043"
"2067","812","47292","05045"
"1012","414","24732","05046"
"2557","1074","42109","05048"
"185","58","38750","05050"
"1714","756","28333","05051"
"201","100","0","05052"
"435","188","29583","05053"
"3433","1494","55375","05055"
"472","224","62708","05056"
"266","109","52083","05058"
"658","298","23628","05059"
"4355","1881","35765","05060"
"1371","361","60714","05061"
"715","297","57632","05062"
"1197","482","35000","05065"
"214","99","59531","05067"
"3154","1406","41667","05068"
"589","220","60250","05069"
"533","229","63333","05070"
"452","184","44821","05071"
"527","224","36136","05072"
"1049","458","121000","05075"
"545","178","27500","05076"
"1136","486","36250","05077"
"590","263","28333","05079"
"487","209","31667","05081"
"103","49","0","05083"
"55","30","53947","05084"
"776","318","23438","05086"
"5026","2007","27325","05089"
"3270","1461","68333","05091"
"4942","2098","26845","05101"
"61","36","11875","05141"
"777","296","40341","05142"
"4140","1940","35067","05143"
"658","315","27250","05146"
"1145","513","40833","05148"
"2243","974","29943","05149"
"929","401","33056","05150"
"1407","547","37813","05151"
"450","197","58438","05152"
"653","307","35179","05153"
"643","245","37083","05154"
"609","306","33571","05155"
"9275","3829","32011","05156"
"1348","536","22250","05158"
"546","274","54375","05161"
"14742","5977","29931","05201"
"3534","1573","43162","05250"
"1556","669","63558","05251"
"290","134","37000","05252"
"414","241","56875","05253"
"396","182","120000","05254"
"3990","1887","36440","05255"
"2798","851","33125","05257"
"416","138","61688","05260"
"2705","1128","28750","05261"
"2554","1111","46964","05262"
"16692","7622","29481","05301"
"560","277","49000","05340"
"458","214","34922","05341"
"548","248","55313","05342"
"854","343","58750","05343"
"2209","955","51458","05345"
"4784","1890","35850","05346"
"814","314","19500","05350"
"825","353","33000","05352"
"1061","459","44265","05353"
"2248","881","25795","05354"
"669","297","40875","05355"
"900","443","33438","05356"
"214","99","36250","05358"
"597","303","36964","05359"
"231","93","66250","05360"
"963","391","30938","05361"
"106","57","93750","05362"
"2334","1101","57188","05363"
"27979","12559","27813","05401"
"17317","7662","37557","05403"
"7100","3158","22871","05404"
"3968","0","0","05405"
"10525","4344","40476","05408"
"1595","0","0","05439"
"1870","816","28580","05440"
"1079","370","41000","05441"
"341","144","37188","05442"
"6614","2669","38646","05443"
"1756","737","15750","05444"
"3739","1416","55227","05445"
"15654","6208","41553","05446"
"89","34","28333","05447"
"1167","473","31250","05448"
"4645","1804","27083","05450"
"19623","7755","44877","05452"
"4680","1740","38750","05454"
"1058","387","30417","05455"
"1415","520","46458","05456"
"1652","708","34375","05457"
"2062","956","48625","05458"
"2390","874","29904","05459"
"4504","1890","61250","05461"
"1957","820","37708","05462"
"512","209","22083","05463"
"2764","1110","28092","05464"
"5295","1972","64044","05465"
"12958","4816","42500","05468"
"641","294","23438","05471"
"1594","654","36250","05472"
"1375","572","51477","05473"
"863","441","44583","05474"
"3433","1337","24583","05476"
"4473","1798","47463","05477"
"14025","5745","32831","05478"
"0","0","0","05481"
"7195","2869","63750","05482"
"1354","462","21932","05483"
"57","31","0","05485"
"1749","772","37045","05486"
"1589","606","24531","05487"
"7743","2949","32647","05488"
"3080","1168","44167","05489"
"5791","2188","38359","05491"
"805","334","33250","05492"
"1863","681","53482","05494"
"9190","3727","41385","05495"
"11532","5250","34665","05602"
"236","105","28750","05640"
"17396","7358","32456","05641"
"1087","435","29375","05647"
"444","211","29375","05648"
"817","298","56354","05649"
"1091","442","27292","05650"
"1698","692","32266","05651"
"749","298","39375","05652"
"423","178","42083","05653"
"850","411","18986","05654"
"2869","1205","29735","05655"
"3476","1338","18015","05656"
"30","14","0","05657"
"1796","659","30170","05658"
"1583","649","38125","05660"
"5595","2371","33382","05661"
"6844","2103","37639","05663"
"0","0","0","05664"
"2301","885","33594","05667"
"392","210","36354","05669"
"4298","1859","62500","05672"
"2520","1151","51382","05673"
"1464","626","80972","05674"
"1076","442","46250","05675"
"5272","2269","34293","05676"
"1914","840","29464","05677"
"157","74","0","05678"
"3294","1411","27386","05679"
"2119","877","29643","05680"
"344","169","14773","05681"
"1312","515","33750","05682"
"20484","9065","29217","05701"
"206","107","63750","05730"
"706","325","27941","05732"
"6045","2624","39915","05733"
"1378","576","55294","05734"
"4191","1548","24402","05735"
"1042","391","58375","05736"
"769","335","43125","05737"
"1031","431","40781","05738"
"1464","556","40000","05739"
"19","10","0","05740"
"797","281","13824","05742"
"4383","1765","23732","05743"
"501","186","29779","05744"
"318","148","48750","05747"
"421","175","51875","05748"
"794","377","46500","05751"
"10519","3718","43969","05753"
"742","334","45833","05757"
"744","330","39792","05758"
"1811","847","46875","05759"
"1028","420","33750","05760"
"1185","442","39083","05761"
"534","215","46667","05762"
"2525","1153","50473","05763"
"3503","1280","32174","05764"
"1846","795","35000","05765"
"513","204","51563","05766"
"964","478","33889","05767"
"1181","452","39625","05769"
"1099","432","39896","05770"
"547","247","39875","05772"
"2290","944","34330","05773"
"1233","539","36167","05774"
"658","269","18750","05775"
"806","372","39291","05776"
"3650","1463","22409","05777"
"705","276","37083","05778"
"9518","4148","21386","05819"
"653","260","19688","05820"
"1375","493","39750","05821"
"1826","742","22019","05822"
"1033","417","25938","05824"
"271","106","25227","05825"
"1013","392","21500","05826"
"247","111","21125","05827"
"2139","949","30375","05828"
"1730","759","16354","05829"
"1829","695","25875","05830"
"924","383","45417","05832"
"151","61","68250","05833"
"1159","409","29219","05836"
"395","157","31250","05837"
"827","300","41250","05839"
"387","190","39167","05841"
"629","211","41250","05842"
"2565","929","32647","05843"
"1151","429","28333","05845"
"1016","518","21875","05846"
"935","348","19583","05847"
"283","56","0","05850"
"6376","2494","22147","05851"
"737","265","29444","05853"
"7376","2857","23250","05855"
"1479","607","26477","05857"
"511","202","30903","05858"
"1958","773","24762","05859"
"2380","951","27308","05860"
"381","172","25114","05862"
"592","242","35250","05866"
"962","386","33056","05867"
"306","131","16591","05868"
"1501","613","31083","05871"
"663","253","24375","05872"
"543","231","51964","05873"
"538","209","25000","05874"
"387","168","57917","05875"
"3","3","0","05901"
"151","75","34375","05902"
"1007","416","26667","05903"
"244","119","21964","05904"
"770","357","26667","05905"
"1315","551","21354","05906"
"179","89","29167","05907"
"18172","7183","56154","06001"
"20406","8500","47418","06002"
"60436","25090","34229","06010"
"9228","3350","34583","06013"
"6245","2373","27772","06016"
"2652","1195","25144","06018"
"10058","4030","47743","06019"
"0","0","0","06020"
"280","125","63750","06021"
"81","52","92750","06022"
"1073","398","56583","06023"
"846","329","38611","06024"
"4972","1979","43750","06026"
"1442","487","47083","06027"
"15394","5899","53438","06029"
"1262","596","50417","06031"
"17630","7421","53733","06032"
"28314","10758","52432","06033"
"7408","2937","61625","06035"
"18621","7028","40711","06037"
"1952","807","56250","06039"
"35096","14429","37548","06040"
"22801","10092","37130","06042"
"5006","1973","56667","06043"
"29938","11926","19946","06051"
"7767","3098","40313","06052"
"35350","13635","27868","06053"
"6727","2566","59417","06057"
"1610","629","46250","06058"
"0","0","0","06059"
"2723","1002","122308","06060"
"174","69","0","06061"
"17670","7596","33082","06062"
"3193","1260","51691","06063"
"990","333","44583","06065"
"29199","13031","40147","06066"
"19533","7952","40422","06067"
"1647","584","82750","06068"
"2607","1189","37000","06069"
"15023","5413","68015","06070"
"11517","3246","60884","06071"
"5776","1984","76058","06073"
"25577","9445","43789","06074"
"12821","5109","37938","06076"
"12317","3820","63199","06078"
"1345","648","39145","06081"
"44747","16466","40561","06082"
"14931","5380","47253","06084"
"7148","2890","33378","06085"
"4779","2040","39813","06088"
"2602","1060","46806","06089"
"1209","430","167667","06090"
"185","80","83021","06091"
"4528","1437","56944","06092"
"3196","1212","46071","06093"
"28989","10721","47288","06095"
"12466","5174","37365","06096"
"12201","5019","31543","06098"
"1159","794","22981","06103"
"20035","9913","25088","06105"
"38318","14156","14669","06106"
"18275","7391","55149","06107"
"24003","9271","31903","06108"
"26641","11146","37513","06109"
"12663","4916","28009","06110"
"30441","12615","43112","06111"
"22410","7577","27831","06112"
"28264","9764","26568","06114"
"18465","5667","56647","06117"
"27169","11002","29505","06118"
"15190","6685","27448","06119"
"13172","4153","16884","06120"
"0","0","0","06160"
"19631","6864","23966","06226"
"4129","1368","39286","06231"
"3143","1203","37273","06232"
"8148","2852","43824","06234"
"2389","912","43636","06235"
"5449","2091","62083","06237"
"12402","4706","45500","06238"
"10939","4351","25494","06239"
"6958","2540","32969","06241"
"1380","542","45208","06242"
"0","0","0","06243"
"2700","1054","43523","06247"
"5491","1950","58199","06248"
"7268","2769","42212","06249"
"5659","2180","66141","06250"
"1958","749","38333","06254"
"4585","1837","34306","06255"
"2407","1326","23421","06256"
"4431","1606","45625","06259"
"9561","3873","22201","06260"
"701","348","30909","06262"
"212","119","26618","06263"
"148","54","0","06264"
"761","209","57417","06266"
"11335","3634","52696","06268"
"8881","12","0","06269"
"4036","1460","41480","06277"
"4405","1721","52614","06278"
"6070","2335","48000","06279"
"2967","1118","29336","06280"
"7029","2669","33274","06281"
"1017","457","69327","06282"
"27652","10535","32577","06320"
"3386","1423","35652","06330"
"5109","2050","34620","06331"
"252","88","82750","06332"
"6472","2258","44265","06333"
"2611","1047","42750","06334"
"6862","2542","78316","06335"
"15","15","0","06336"
"8076","2995","55500","06339"
"31442","12018","39592","06340"
"0","0","0","06350"
"16185","6573","36184","06351"
"291","133","0","06353"
"6308","2389","33516","06354"
"12732","5410","51278","06355"
"12608","4664","46234","06357"
"5303","2189","50946","06359"
"36714","15090","33929","06360"
"4729","1894","50063","06365"
"7551","2770","58667","06370"
"9805","4123","67222","06371"
"162","58","0","06373"
"8199","2934","46731","06374"
"4004","1485","46786","06375"
"105","66","0","06376"
"3164","973","36071","06377"
"5342","2313","69083","06378"
"9203","3758","24398","06379"
"3255","1175","23750","06380"
"11663","4188","41220","06382"
"2577","998","46000","06384"
"15345","6522","46250","06385"
"316","106","0","06387"
"93","31","0","06389"
"280","131","22292","06390"
"19193","7550","27318","06401"
"5926","2258","45085","06403"
"28004","12378","42440","06405"
"673","312","61161","06409"
"29077","9317","46696","06410"
"3984","1600","53165","06412"
"13245","5444","43565","06413"
"278","46","0","06414"
"16374","6171","45975","06415"
"13951","5733","42188","06416"
"4652","1846","60859","06417"
"12845","5187","28319","06418"
"6499","2452","41731","06419"
"4144","1581","30481","06420"
"7342","2526","50536","06422"
"5240","1940","61964","06423"
"12535","4740","53527","06424"
"3324","1566","51639","06426"
"22272","8778","61729","06437"
"2664","1037","45547","06438"
"5398","2066","60550","06441"
"2700","1081","41875","06442"
"18243","6739","66875","06443"
"18","9","0","06444"
"6335","2220","62031","06447"
"36565","14540","33191","06450"
"24043","9243","30243","06451"
"3406","1269","44861","06455"
"318","121","108378","06456"
"47510","19875","33578","06457"
"37958","15486","35409","06460"
"14774","5332","39931","06461"
"79","38","0","06467"
"19398","6534","49516","06468"
"3358","1361","39475","06469"
"16263","5326","49318","06470"
"7760","3251","37930","06471"
"6691","2381","65690","06472"
"24176","9030","45871","06473"
"10307","4572","53263","06475"
"13884","4928","48375","06477"
"12384","4360","60597","06478"
"10665","4228","44583","06479"
"9470","3646","57005","06480"
"1012","431","31094","06481"
"10972","3620","52279","06482"
"16442","6288","29938","06483"
"39310","14912","46674","06484"
"19778","8196","40220","06488"
"31969","12582","36048","06489"
"45052","17556","39420","06492"
"6937","2889","37500","06498"
"2365","1410","44375","06510"
"54974","20913","37434","06511"
"28539","11639","36022","06512"
"39012","14820","20636","06513"
"26508","10135","40951","06514"
"17947","6557","24768","06515"
"55249","21535","33983","06516"
"15211","6356","38750","06517"
"18803","6755","45663","06518"
"15357","5325","17270","06519"
"5513","1916","63542","06524"
"8992","3334","82344","06525"
"28660","10202","26512","06604"
"23888","8533","28500","06605"
"47707","16738","34881","06606"
"7286","2630","27833","06607"
"13309","4250","12401","06608"
"22562","8661","17746","06610"
"35752","12193","50371","06611"
"7452","2507","72283","06612"
"32834","12784","43239","06614"
"18282","7138","30848","06615"
"3875","1871","11337","06702"
"24013","9295","22453","06704"
"26918","10718","29483","06705"
"14729","5305","34734","06706"
"30208","11860","30408","06708"
"10354","3530","33875","06710"
"9335","3339","38418","06712"
"16532","5896","37992","06716"
"1385","595","30515","06750"
"3532","1381","54659","06751"
"1790","753","79750","06752"
"1835","692","73750","06754"
"1160","388","51375","06755"
"2891","1229","53750","06756"
"2317","979","42064","06757"
"381","144","66000","06758"
"5804","2293","47083","06759"
"7459","2672","46875","06762"
"2030","819","51406","06763"
"31859","12427","32283","06770"
"26734","10240","48289","06776"
"1649","657","68000","06777"
"1409","545","43750","06778"
"8329","3228","34938","06779"
"2336","900","44205","06782"
"2315","984","57375","06783"
"3805","1417","73571","06784"
"665","262","130375","06785"
"9882","3766","34029","06786"
"7862","3245","34951","06787"
"36405","15580","31760","06790"
"5729","2141","50714","06791"
"1144","432","43750","06793"
"1134","560","108051","06794"
"14177","5415","40234","06795"
"954","393","84167","06796"
"9928","4232","52668","06798"
"18459","6717","57188","06801"
"16370","5887","69804","06804"
"6650","2494","51932","06807"
"48349","17779","31366","06810"
"31755","11694","53696","06811"
"13847","4741","63162","06812"
"20580","6557","74224","06820"
"34159","11007","54906","06824"
"20430","7207","53233","06825"
"24561","9421","91375","06830"
"14225","5215","82639","06831"
"19642","6681","92396","06840"
"19432","7994","51417","06850"
"27971","11601","48349","06851"
"3787","1572","79792","06853"
"26577","11794","40449","06854"
"7245","3388","29598","06855"
"1","0","0","06856"
"7143","2443","89974","06870"
"24589","8649","68459","06877"
"8528","2703","85125","06878"
"26448","9580","85156","06880"
"10142","3221","100000","06883"
"4422","1517","78365","06890"
"8938","3492","83170","06896"
"17973","5977","75466","06897"
"6566","3631","18966","06901"
"66134","23137","42026","06902"
"14327","4899","113306","06903"
"18198","7189","51463","06905"
"8403","3366","51587","06906"
"8072","3229","46250","06907"
"16566","4754","35898","07001"
"62485","25227","33552","07002"
"47148","17987","39721","07003"
"7367","2555","47353","07004"
"15608","5545","64792","07005"
"24891","9408","58398","07006"
"22623","7577","30991","07008"
"12346","4451","59274","07009"
"23469","10182","35262","07010"
"39186","12552","32755","07011"
"13079","5037","56620","07012"
"24981","9692","38266","07013"
"4829","1861","24382","07014"
"22499","8252","50657","07016"
"35019","13693","25485","07017"
"29597","11092","26728","07018"
"11078","5461","31964","07020"
"2075","692","124167","07021"
"13748","4942","27650","07022"
"7264","2442","62664","07023"
"35213","16360","45592","07024"
"30400","11302","27813","07026"
"4202","1622","52986","07027"
"7606","2389","75481","07028"
"16010","5467","29954","07029"
"48515","23555","23537","07030"
"15340","6130","32198","07031"
"40406","13535","40532","07032"
"7852","2780","44142","07033"
"9963","3644","56328","07034"
"10673","4114","54832","07035"
"41598","15374","34328","07036"
"28982","9658","80182","07039"
"23809","7930","55179","07040"
"6871","2527","51591","07041"
"25554","10174","43224","07042"
"12836","4190","88056","07043"
"13565","5300","44219","07044"
"9813","3690","44229","07045"
"4214","1290","108092","07046"
"60115","21346","25755","07047"
"30074","10969","21404","07050"
"45920","15965","50049","07052"
"28657","11150","38923","07054"
"69290","20394","23528","07055"
"11336","4848","36359","07057"
"6046","1973","99904","07058"
"15229","4748","89850","07059"
"44610","14278","36889","07060"
"11772","4523","37500","07062"
"14817","4167","46034","07063"
"3356","1223","44500","07064"
"27127","10293","33740","07065"
"14659","5363","43420","07066"
"17731","6190","42311","07067"
"5750","2226","78472","07068"
"5900","2189","70260","07069"
"18016","6932","39821","07070"
"20370","7925","43018","07071"
"6092","2186","45045","07072"
"8875","3866","25407","07073"
"2715","1011","33854","07074"
"7607","2875","58824","07075"
"23195","8539","54250","07076"
"2553","959","42833","07077"
"13157","3960","104318","07078"
"16380","5062","85000","07079"
"23237","7803","45056","07080"
"15606","6642","41944","07081"
"5070","1682","46523","07082"
"52846","18128","41559","07083"
"12574","5560","26667","07086"
"66322","22458","24765","07087"
"3393","1210","29554","07088"
"30154","10105","56471","07090"
"6695","2367","88438","07092"
"60038","22791","19816","07093"
"16125","6038","46472","07094"
"20664","7615","37406","07095"
"12005","4434","13780","07102"
"30562","10218","15030","07103"
"51482","17123","20801","07104"
"48639","15032","24284","07105"
"32366","11019","27533","07106"
"36076","11897","20669","07107"
"25016","8645","18665","07108"
"35688","13150","36487","07109"
"28119","11272","34039","07110"
"54428","20123","29086","07111"
"25652","9519","35156","07112"
"13850","3935","11190","07114"
"24625","7673","26548","07201"
"40874","13329","22777","07202"
"21016","7609","31297","07203"
"13214","5002","39375","07204"
"21328","7528","32262","07205"
"25518","7123","21432","07206"
"32763","11230","36230","07208"
"35910","17053","23253","07302"
"39346","14351","29116","07304"
"61392","21468","31927","07305"
"52027","20064","24470","07306"
"44114","15821","28169","07307"
"11849","5562","32292","07310"
"361","230","0","07311"
"6420","2047","87892","07401"
"7620","2798","55865","07403"
"17672","6532","55750","07405"
"19311","7043","36538","07407"
"32286","11814","49219","07410"
"5834","2248","41759","07416"
"10545","3380","95455","07417"
"2213","758","37159","07418"
"9636","3863","39643","07419"
"4379","1430","33693","07420"
"7180","2596","58523","07421"
"6450","2347","52574","07422"
"4065","1330","85250","07423"
"25770","9569","44769","07424"
"25635","9825","58297","07430"
"7083","2665","41121","07432"
"1853","693","77333","07435"
"12701","4181","67898","07436"
"11544","4077","58661","07438"
"2422","911","38947","07439"
"4938","1784","54018","07440"
"11015","3913","48583","07442"
"10455","4438","50909","07444"
"14519","5204","61953","07446"
"24954","8358","61310","07450"
"11578","3645","65139","07452"
"12197","3732","71193","07456"
"3454","1506","44886","07457"
"11275","3527","105000","07458"
"3143","1193","61083","07460"
"19552","6768","45121","07461"
"7091","2796","55577","07462"
"9602","3352","46420","07463"
"6589","2536","53047","07465"
"54479","17992","49149","07470"
"16533","5673","35808","07480"
"16620","5499","68750","07481"
"0","0","0","07495"
"31680","9789","14061","07501"
"14456","4424","35417","07502"
"19762","5588","15732","07503"
"12935","3715","46313","07504"
"1543","792","11797","07505"
"18656","6858","50080","07506"
"22407","6730","46481","07508"
"10679","3684","39240","07512"
"11533","3200","46115","07513"
"18398","5918","27639","07514"
"21994","6422","23448","07522"
"13614","3792","23354","07524"
"42857","18484","41094","07601"
"8164","2802","58750","07603"
"11792","4249","51324","07604"
"8979","3429","46806","07605"
"2146","840","45938","07606"
"9531","3826","38162","07607"
"93","29","80625","07608"
"2072","678","211146","07620"
"26498","8940","50136","07621"
"8354","2879","55833","07624"
"8245","3081","45101","07626"
"4865","1585","93906","07627"
"17433","6257","33606","07628"
"7367","2489","44561","07630"
"26870","10141","46397","07631"
"5404","1861","73889","07632"
"4662","1601","74375","07640"
"3376","1134","71250","07641"
"10181","3496","65417","07642"
"10612","4224","32162","07643"
"24078","8941","31704","07644"
"7725","2691","82857","07645"
"16297","6084","42122","07646"
"5034","1498","73333","07647"
"5710","1752","65956","07648"
"7966","2801","75417","07649"
"19311","7407","32581","07650"
"26197","8322","57927","07652"
"8658","3163","71250","07656"
"10984","4063","35598","07657"
"12710","4613","40625","07660"
"11273","4157","50000","07661"
"5530","2173","26567","07662"
"13570","4893","42843","07663"
"39636","13067","60500","07666"
"14757","4870","98250","07670"
"26225","9614","52766","07675"
"9008","3175","61875","07676"
"5707","1874","85000","07677"
"23339","9975","43130","07701"
"3773","1335","52875","07702"
"554","147","0","07703"
"6108","2096","66161","07704"
"1596","575","81071","07711"
"39118","16167","38288","07712"
"8584","3254","51250","07716"
"2079","952","58333","07717"
"5691","1988","56477","07718"
"22252","8915","44957","07719"
"4356","2336","54083","07720"
"2912","991","52500","07721"
"10200","3166","101250","07722"
"1225","480","88750","07723"
"21958","9074","47692","07724"
"41816","14140","35975","07726"
"6261","2419","46250","07727"
"55763","19762","37781","07728"
"17403","6044","33958","07730"
"38453","12612","50427","07731"
"5297","2531","44856","07732"
"16711","5393","75339","07733"
"13403","5122","19891","07734"
"20306","7567","27754","07735"
"4239","1521","39583","07737"
"6219","2176","57656","07738"
"5979","2130","106250","07739"
"31017","11850","40745","07740"
"19322","6049","51858","07746"
"30612","11627","40143","07747"
"28625","9707","57987","07748"
"3315","1619","62344","07750"
"18736","5872","83864","07751"
"36745","15362","38845","07753"
"6638","2265","51250","07755"
"3501","1956","33188","07756"
"5423","2022","45972","07757"
"5385","1818","41625","07758"
"9308","3277","73289","07760"
"8689","3917","55511","07762"
"8102","2378","48462","07764"
"25675","8019","45383","07801"
"3665","1245","58333","07803"
"0","0","0","07820"
"9632","3427","61250","07821"
"862","322","53875","07822"
"7956","3361","31636","07823"
"9796","3322","48750","07825"
"5971","2373","52500","07826"
"4315","1730","52878","07827"
"13377","5522","36936","07828"
"6959","2333","58676","07830"
"3624","1293","44971","07832"
"129","49","0","07833"
"17533","6748","62958","07834"
"12964","4714","62014","07836"
"3434","1168","45938","07838"
"29883","12013","40872","07840"
"165","63","0","07842"
