"B01001_001E","B11001_001E","B19049_005E","zipcode"
"9293","3146","71761","01772"
"4701","1727","112841","01773"
"6488","2328","50327","01775"
"17482","5613","82863","01776"
"13062","4947","62417","01778"
"38252","15560","40823","01801"
"23998","9102","46574","01803"
"32945","11929","45526","01810"
"30168","10611","48438","01821"
"24934","9525","46035","01824"
"29213","11149","37000","01826"
"3128","1087","46667","01827"
"25062","10158","28529","01830"
"21934","8851","31839","01832"
"8083","2790","50536","01833"
"6401","2372","43021","01834"
"13548","5325","39435","01835"
"4432","2140","10816","01840"
"47741","15914","18452","01841"
"23686","9014","29928","01843"
"46687","17488","31068","01844"
"28156","10223","45643","01845"
"16170","5637","26103","01850"
"29726","10483","32024","01851"
"32664","13550","32545","01852"
"27336","9753","22971","01854"
"6297","2442","32411","01860"
"10145","3497","43083","01862"
"8676","3779","34340","01863"
"14703","5077","48850","01864"
"24083","8852","48601","01867"
"28395","10421","32357","01876"
"11198","3797","33986","01879"
"24699","9963","42141","01880"
"21716","7308","55938","01886"
"22116","7200","56157","01887"
"21205","7611","64844","01890"
"1832","993","10668","01901"
"44991","17218","20379","01902"
"19076","6939","43327","01904"
"24071","8850","32945","01905"
"26516","9917","37256","01906"
"13974","5595","48606","01907"
"3420","1531","53594","01908"
"16267","6543","41333","01913"
"39455","15278","40330","01915"
"7950","2665","88079","01921"
"3062","1004","50489","01922"
"26265","10282","41539","01923"
"3470","1383","37266","01929"
"28869","12310","36471","01930"
"38","0","0","01937"
"13127","5473","47117","01938"
"11793","4284","44955","01940"
"5137","2047","63092","01944"
"19811","7898","51905","01945"
"8839","2621","40224","01949"
"17370","7534","40385","01950"
"3585","1512","30694","01951"
"8212","3399","39298","01952"
"50674","20770","33072","01960"
"7021","3020","50966","01966"
"5815","2254","33977","01969"
"41051","17690","27681","01970"
"7809","2532","46827","01982"
"6075","2039","63304","01983"
"4831","1311","48929","01984"
"4222","1497","65417","01985"
"16165","5879","36037","02019"
"21408","8460","46554","02021"
"7483","2706","51594","02025"
"24521","9528","44052","02026"
"5564","1765","76375","02030"
"3709","1438","45603","02032"
"16734","6470","46994","02035"
"31317","10866","36684","02038"
"21916","8046","51182","02043"
"10391","4672","34573","02045"
"171","87","31222","02047"
"23094","8161","32310","02048"
"25360","9478","48964","02050"
"12004","4011","50104","02052"
"12670","4433","50595","02053"
"7852","3043","46852","02054"
"10994","3125","61625","02056"
"10430","3468","51818","02061"
"28483","11559","37120","02062"
"17643","6714","50785","02066"
"17341","6201","68750","02067"
"1831","275","95982","02071"
"27008","10502","36926","02072"
"18561","6933","46960","02081"
"14508","5172","46830","02090"
"10879","3978","49179","02093"
"3923","2141","59750","02108"
"4042","2012","46250","02109"
"1586","902","122083","02110"
"6995","3309","12898","02111"
"6768","4170","24348","02113"
"11882","6596","55000","02114"
"29413","10025","12845","02115"
"20689","10828","44655","02116"
"27113","12593","13377","02118"
"24166","9735","14292","02119"
"12691","4575","16625","02120"
"24972","9397","26250","02121"
"24761","8108","32582","02122"
"48384","17123","28383","02124"
"31503","11587","25357","02125"
"26719","9465","26519","02126"
"31954","14900","24431","02127"
"41128","14832","22531","02128"
"16685","7939","30705","02129"
"35323","15155","27206","02130"
"30914","11474","24873","02131"
"26813","10933","44125","02132"
"20183","9027","18286","02134"
"40493","19227","18104","02135"
"29082","10638","28973","02136"
"34301","14164","71141","02138"
"35994","15069","34274","02139"
"18398","8615","43500","02140"
"12716","6092","21077","02141"
"2902","1461","116500","02142"
"24652","11011","31071","02143"
"24338","10670","28847","02144"
"24061","9738","30456","02145"
"58826","23427","25928","02148"
"41074","15676","26070","02149"
"34872","12035","17576","02150"
"50845","19425","29089","02151"
"17430","7356","42704","02152"
"58211","22438","36159","02155"
"1664","473","0","02163"
"53270","24338","27885","02169"
"19889","7861","30575","02170"
"18325","7766","41676","02171"
"26864","10963","36903","02176"
"21413","8909","37282","02180"
"35409","13267","45728","02184"
"26828","8956","46042","02186"
"14233","6340","37473","02188"
"14350","6046","35375","02189"
"16308","6481","40981","02190"
"8674","3676","35625","02191"
"1218","756","60341","02199"
"0","0","0","02203"
"1658","972","170962","02210"
"23933","8025","14976","02215"
"60850","21941","30954","02301"
"33066","11297","33002","02302"
"4341","1609","30304","02322"
"26508","7927","42721","02324"
"11481","4286","32940","02330"
"14978","5256","58063","02332"
"13704","4682","42438","02333"
"7516","2798","25809","02338"
"13813","4729","54125","02339"
"10180","3468","51719","02341"
"10527","4152","40963","02343"
